Instance,RSHSN08,,,,,
,,,,,,
VEHICLE,4,,,,,
VEHICLE_TYPE,NUMBER,CAPACITY,COST,,,
V10,3,30,1,,,
V11,2,50,2,,,
V20,2,30,1.5,,,
V21,1,50,3,,,
,,,,,,
CUSTOMER,8,,,,,
CUSTOMER_NO,DEMAND,TYPE,AREA,SERVICE_TIME,TW_NUMBER,TWs
0,0,0,0,0,1,0.0;480.0
1,7,1,1,50,1,124.0;304.0
2,13,0,0,50,1,259.0;322.0
3,26,1,0,50,2,46.0;109.0#186.0;250.0
4,3,0,1,50,1,99.0;279.0
5,16,1,0,50,3,32.0;97.0#99.0;159.0#183.0;248.0
6,16,0,0,50,1,299.0;417.0
7,12,0,0,50,1,177.0;416.0
8,19,0,1,50,2,175.0;292.0#341.0;457.0
