Instance,RLHSN150

VEHICLE,4
VEHICLE_TYPE,NUMBER,CAPACITY,COST
V10,22,80,1
V11,12,160,2
V20,20,80,1.5
V21,10,150,3

CUSTOMER,150
CUSTOMER_NO,DEMAND,TYPE,AREA,SERVICE_TIME,TW_NUMBER,TWs
0,0.0,0,0,0.0,1,0.0;480.0
1,13.0,1,0,30.0,1,347.0;412.0
2,14.0,0,0,30.0,3,66.0;126.0#192.0;253.0#278.0;340.0
3,14.0,0,0,30.0,2,15.0;192.0#279.0;456.0
4,29.0,0,0,30.0,1,352.0;468.0
5,10.0,1,1,30.0,2,35.0;153.0#212.0;331.0
6,25.0,1,0,30.0,2,63.0;127.0#188.0;252.0
7,21.0,0,1,30.0,3,59.0;175.0#176.0;291.0#300.0;418.0
8,3.0,1,0,30.0,1,348.0;413.0
9,11.0,0,0,30.0,2,69.0;134.0#225.0;287.0
10,22.0,0,1,30.0,1,134.0;195.0
11,15.0,0,0,30.0,1,124.0;304.0
12,17.0,0,0,30.0,1,259.0;322.0
13,2.0,0,0,30.0,2,46.0;109.0#186.0;250.0
14,17.0,0,1,30.0,1,99.0;279.0
15,3.0,0,0,30.0,3,32.0;97.0#99.0;159.0#183.0;248.0
16,17.0,1,1,30.0,1,299.0;417.0
17,20.0,0,1,30.0,1,177.0;416.0
18,16.0,0,0,30.0,2,175.0;292.0#341.0;457.0
19,19.0,0,1,30.0,1,264.0;325.0
20,24.0,0,0,30.0,1,146.0;208.0
21,21.0,0,0,30.0,1,284.0;344.0
22,12.0,0,0,30.0,2,16.0;81.0#84.0;148.0
23,16.0,0,0,30.0,1,24.0;89.0
24,17.0,0,0,30.0,2,35.0;100.0#179.0;239.0
25,22.0,0,0,30.0,2,20.0;82.0#89.0;150.0
26,4.0,1,0,30.0,2,44.0;219.0#223.0;402.0
27,21.0,1,0,30.0,1,85.0;145.0
28,7.0,1,0,30.0,2,76.0;192.0#223.0;343.0
29,10.0,1,1,30.0,2,39.0;100.0#201.0;265.0
30,24.0,0,0,30.0,1,145.0;207.0
31,6.0,0,1,30.0,1,161.0;276.0
32,26.0,1,1,30.0,2,216.0;281.0#388.0;449.0
33,12.0,0,0,30.0,1,380.0;440.0
34,25.0,0,0,30.0,1,352.0;416.0
35,22.0,1,1,30.0,1,255.0;318.0
36,13.0,0,0,30.0,1,88.0;323.0
37,29.0,0,0,30.0,2,32.0;96.0#166.0;226.0
38,16.0,1,0,30.0,1,110.0;288.0
39,29.0,0,0,30.0,1,203.0;268.0
40,33.0,1,0,30.0,1,292.0;354.0
41,10.0,0,0,30.0,1,393.0;453.0
42,13.0,0,0,30.0,2,56.0;121.0#344.0;404.0
43,15.0,0,0,30.0,1,397.0;458.0
44,23.0,0,0,30.0,2,129.0;191.0#291.0;355.0
45,18.0,0,1,30.0,3,44.0;160.0#161.0;280.0#294.0;412.0
46,10.0,0,0,30.0,1,108.0;286.0
47,26.0,1,0,30.0,1,229.0;408.0
48,18.0,0,0,30.0,1,245.0;425.0
49,19.0,0,0,30.0,1,179.0;243.0
50,21.0,0,0,30.0,1,204.0;321.0
51,11.0,1,1,30.0,1,51.0;113.0
52,42.0,1,0,30.0,1,124.0;244.0
53,31.0,1,0,30.0,1,146.0;211.0
54,35.0,1,0,30.0,1,61.0;301.0
55,3.0,0,0,30.0,3,103.0;163.0#172.0;232.0#367.0;432.0
56,35.0,1,1,30.0,2,64.0;128.0#298.0;359.0
57,32.0,0,0,30.0,1,235.0;296.0
58,12.0,0,1,30.0,1,352.0;414.0
59,12.0,0,0,30.0,2,91.0;152.0#342.0;403.0
60,11.0,0,0,30.0,1,65.0;242.0
61,18.0,0,0,30.0,1,161.0;223.0
62,9.0,0,0,30.0,1,138.0;199.0
63,15.0,1,0,30.0,1,116.0;178.0
64,18.0,0,0,30.0,1,141.0;205.0
65,11.0,0,0,30.0,2,63.0;240.0#256.0;432.0
66,26.0,1,0,30.0,1,66.0;189.0
67,6.0,0,0,30.0,1,220.0;399.0
68,9.0,1,0,30.0,1,113.0;348.0
69,27.0,0,1,30.0,1,133.0;251.0
70,19.0,0,0,30.0,1,199.0;438.0
71,6.0,0,0,30.0,1,294.0;359.0
72,13.0,0,1,30.0,2,20.0;138.0#239.0;355.0
73,8.0,0,0,30.0,1,217.0;279.0
74,10.0,0,0,30.0,2,165.0;225.0#269.0;332.0
75,6.0,1,1,30.0,1,205.0;267.0
76,21.0,1,1,30.0,1,319.0;380.0
77,8.0,0,0,30.0,1,294.0;356.0
78,19.0,0,1,30.0,1,403.0;466.0
79,21.0,0,0,30.0,1,179.0;242.0
80,24.0,0,1,30.0,1,132.0;252.0
81,1.0,0,1,30.0,2,171.0;231.0#256.0;319.0
82,15.0,0,1,30.0,2,109.0;286.0#297.0;474.0
83,22.0,0,0,30.0,2,107.0;225.0#279.0;396.0
84,22.0,0,0,30.0,1,28.0;206.0
85,19.0,1,0,30.0,2,50.0;112.0#115.0;176.0
86,23.0,1,0,30.0,2,47.0;112.0#232.0;295.0
87,21.0,0,1,30.0,1,75.0;193.0
88,27.0,1,0,30.0,3,81.0;146.0#148.0;213.0#224.0;287.0
89,2.0,0,1,30.0,1,4.0;180.0
90,29.0,0,0,30.0,1,141.0;203.0
91,4.0,0,0,30.0,2,156.0;271.0#296.0;414.0
92,17.0,0,1,30.0,1,108.0;225.0
93,9.0,1,1,30.0,2,152.0;215.0#226.0;287.0
94,21.0,1,0,30.0,1,103.0;459.0
95,13.0,0,1,30.0,1,185.0;363.0
96,41.0,0,0,30.0,2,106.0;166.0#262.0;323.0
97,19.0,0,1,30.0,1,65.0;305.0
98,20.0,0,0,30.0,1,226.0;341.0
99,26.0,0,1,30.0,1,226.0;345.0
100,21.0,0,1,30.0,1,394.0;456.0
101,8.0,0,1,30.0,2,40.0;100.0#131.0;210.0
102,18.0,0,0,30.0,1,212.0;290.0
103,4.0,1,0,30.0,2,164.0;313.0#358.0;461.0
104,46.0,1,0,30.0,3,34.0;128.0#166.0;226.0#276.0;346.0
105,10.0,0,1,30.0,1,89.0;165.0
106,9.0,0,0,30.0,1,147.0;248.0
107,30.0,1,0,30.0,1,0.0;79.0
108,12.0,0,0,30.0,1,14.0;125.0
109,25.0,0,0,30.0,1,298.0;414.0
110,23.0,0,0,30.0,1,41.0;160.0
111,22.0,1,0,30.0,1,66.0;176.0
112,42.0,0,1,30.0,3,67.0;163.0#212.0;326.0#365.0;456.0
