Instance,RSWCN10,,,,,
,,,,,,
VEHICLE,4,,,,,
VEHICLE_TYPE,NUMBER,CAPACITY,COST,,,
V10,3,30,1,,,
V11,2,50,2,,,
V20,3,30,1.5,,,
V21,2,50,3,,,
,,,,,,
CUSTOMER,10,,,,,
CUSTOMER_NO,DEMAND,TYPE,AREA,SERVICE_TIME,TW_NUMBER,TWs
0,0,1,0,0,1,0.0;480.0
1,7,1,0,50,1,255.0;318.0
2,13,0,1,50,1,88.0;323.0
3,26,0,0,50,2,32.0;96.0#166.0;226.0
4,3,1,0,50,1,110.0;288.0
5,5,0,1,50,1,203.0;268.0
6,9,0,0,50,1,292.0;354.0
7,16,0,0,50,1,393.0;453.0
8,12,0,1,50,2,56.0;121.0#344.0;404.0
9,19,1,0,50,1,397.0;458.0
10,23,0,1,50,2,129.0;191.0#291.0;355.0
