Instance,RMWCN100,,,,,
,,,,,,
VEHICLE,4,,,,,
VEHICLE_TYPE,NUMBER,CAPACITY,COST,,,
V10,8,70,1,,,
V11,5,140,2,,,
V20,8,60,1.5,,,
V21,4,120,3,,,
,,,,,,
CUSTOMER,100,,,,,
CUSTOMER_NO,DEMAND,TYPE,AREA,SERVICE_TIME,TW_NUMBER,TWs
0,0,1,0,0,1,0.0;480.0
1,13,1,0,50,1,347.0;412.0
2,14,0,0,50,3,66.0;126.0#192.0;253.0#278.0;340.0
3,24,0,0,50,2,15.0;192.0#279.0;456.0
4,29,1,0,50,1,352.0;468.0
5,10,0,0,50,2,35.0;153.0#212.0;331.0
6,25,0,0,50,2,63.0;127.0#188.0;252.0
7,21,1,0,50,3,59.0;175.0#176.0;291.0#300.0;418.0
8,24,1,0,50,1,348.0;413.0
9,11,0,1,50,2,69.0;134.0#225.0;287.0
10,3,1,0,50,1,134.0;195.0
11,11,0,0,50,1,124.0;304.0
12,12,0,1,50,1,259.0;322.0
13,22,0,0,50,2,46.0;109.0#186.0;250.0
14,11,0,1,50,1,99.0;279.0
15,12,0,1,50,3,32.0;97.0#99.0;159.0#183.0;248.0
16,2,0,1,50,1,299.0;417.0
17,17,1,0,50,1,177.0;416.0
18,3,0,1,50,2,175.0;292.0#341.0;457.0
19,20,0,0,50,1,264.0;325.0
20,16,0,1,50,1,146.0;208.0
21,19,1,0,50,1,284.0;344.0
22,34,0,1,50,2,16.0;81.0#84.0;148.0
23,24,0,0,50,1,24.0;89.0
24,21,0,0,50,2,35.0;100.0#179.0;239.0
25,21,0,0,50,2,20.0;82.0#89.0;150.0
26,12,1,0,50,2,44.0;219.0#223.0;402.0
27,17,0,0,50,1,85.0;145.0
28,22,0,0,50,2,76.0;192.0#223.0;343.0
29,22,0,0,50,2,39.0;100.0#201.0;265.0
30,7,1,0,50,1,145.0;207.0
31,24,0,0,50,1,161.0;276.0
32,22,1,1,50,2,216.0;281.0#388.0;449.0
33,6,1,1,50,1,380.0;440.0
34,16,1,0,50,1,352.0;416.0
35,26,1,0,50,1,255.0;318.0
36,25,0,0,50,1,88.0;323.0
37,14,0,1,50,2,32.0;96.0#166.0;226.0
38,22,0,0,50,1,110.0;288.0
39,13,0,0,50,1,203.0;268.0
40,7,0,0,50,1,292.0;354.0
41,29,1,1,50,1,393.0;453.0
42,11,0,0,50,2,56.0;121.0#344.0;404.0
43,16,1,0,50,1,397.0;458.0
44,29,0,0,50,2,129.0;191.0#291.0;355.0
45,33,0,1,50,3,44.0;160.0#161.0;280.0#294.0;412.0
46,10,1,0,50,1,108.0;286.0
47,13,0,0,50,1,229.0;408.0
48,23,0,0,50,1,245.0;425.0
49,18,0,0,50,1,179.0;243.0
50,10,0,1,50,1,204.0;321.0
51,21,0,0,50,1,51.0;113.0
52,18,1,0,50,1,124.0;244.0
53,19,0,0,50,1,146.0;211.0
54,21,0,0,50,1,61.0;301.0
55,15,0,1,50,3,103.0;163.0#172.0;232.0#367.0;432.0
56,42,0,1,50,2,64.0;128.0#298.0;359.0
57,31,0,0,50,1,235.0;296.0
58,35,0,0,50,1,352.0;414.0
59,3,0,0,50,2,91.0;152.0#342.0;403.0
60,32,0,0,50,1,65.0;242.0
61,33,0,0,50,1,161.0;223.0
62,11,0,1,50,1,138.0;199.0
63,18,0,0,50,1,116.0;178.0
64,9,0,1,50,1,141.0;205.0
65,15,0,1,50,2,63.0;240.0#256.0;432.0
66,18,0,0,50,1,66.0;189.0
67,11,0,0,50,1,220.0;399.0
68,18,0,0,50,1,113.0;348.0
69,26,0,0,50,1,133.0;251.0
70,9,0,0,50,1,199.0;438.0
71,35,1,0,50,1,294.0;359.0
72,1,1,0,50,2,20.0;138.0#239.0;355.0
73,19,1,1,50,1,217.0;279.0
74,6,0,0,50,2,165.0;225.0#269.0;332.0
75,29,0,1,50,1,205.0;267.0
76,13,1,1,50,1,319.0;380.0
77,20,0,0,50,1,294.0;356.0
78,10,1,0,50,1,403.0;466.0
79,9,0,0,50,1,179.0;242.0
80,19,1,0,50,1,132.0;252.0
81,21,0,0,50,2,171.0;231.0#256.0;319.0
82,24,0,0,50,2,109.0;286.0#297.0;474.0
83,4,0,0,50,2,107.0;225.0#279.0;396.0
84,1,0,1,50,1,28.0;206.0
85,12,0,0,50,2,50.0;112.0#115.0;176.0
86,22,1,0,50,2,47.0;112.0#232.0;295.0
87,22,1,1,50,1,75.0;193.0
88,37,0,1,50,3,81.0;146.0#148.0;213.0#224.0;287.0
89,23,0,0,50,1,4.0;180.0
90,12,1,1,50,1,141.0;203.0
91,21,1,1,50,2,156.0;271.0#296.0;414.0
92,27,1,1,50,1,108.0;225.0
93,2,0,1,50,2,152.0;215.0#226.0;287.0
94,23,1,0,50,1,103.0;459.0
95,33,0,1,50,1,185.0;363.0
96,16,0,0,50,2,106.0;166.0#262.0;323.0
97,16,1,1,50,1,65.0;305.0
98,4,0,0,50,1,226.0;341.0
99,26,0,0,50,1,226.0;345.0
100,21,0,0,50,1,394.0;456.0
