Instance,RSWCN20,,,,,
,,,,,,
VEHICLE,4,,,,,
VEHICLE_TYPE,NUMBER,CAPACITY,COST,,,
V10,4,30,1,,,
V11,2,50,2,,,
V20,3,30,1.5,,,
V21,2,50,3,,,
,,,,,,
CUSTOMER,20,,,,,
CUSTOMER_NO,DEMAND,TYPE,AREA,SERVICE_TIME,TW_NUMBER,TWs
0,0,0,0,0,1,0.0;480.0
1,13,0,0,50,1,403.0;466.0
2,19,0,1,50,1,179.0;242.0
3,26,1,0,50,1,132.0;252.0
4,3,1,0,50,2,171.0;231.0#256.0;319.0
5,5,1,1,50,2,109.0;286.0#297.0;474.0
6,9,0,0,50,2,107.0;225.0#279.0;396.0
7,16,0,1,50,1,28.0;206.0
8,16,0,1,50,2,50.0;112.0#115.0;176.0
9,12,0,0,50,2,47.0;112.0#232.0;295.0
10,19,0,1,50,1,75.0;193.0
11,23,0,0,50,3,81.0;146.0#148.0;213.0#224.0;287.0
12,20,0,0,50,1,4.0;180.0
13,8,0,0,50,1,141.0;203.0
14,2,1,0,50,2,156.0;271.0#296.0;414.0
15,12,0,0,50,1,108.0;225.0
16,17,0,1,50,2,152.0;215.0#226.0;287.0
17,9,1,0,50,1,103.0;459.0
18,18,1,1,50,1,185.0;363.0
19,29,0,0,50,2,106.0;166.0#262.0;323.0
20,6,1,0,50,1,65.0;305.0
