Instance,RLWCN350

VEHICLE,4
VEHICLE_TYPE,NUMBER,CAPACITY,COST
V10,20,90,1
V11,10,180,2
V20,20,90,1.5
V21,9,150,3

CUSTOMER,350
CUSTOMER_NO,DEMAND,TYPE,AREA,SERVICE_TIME,TW_NUMBER,TWs
0,0.0,0,0,0.0,1,0.0;480.0
1,13.0,1,0,40.0,1,347.0;412.0
2,14.0,0,0,40.0,3,66.0;126.0#192.0;253.0#278.0;340.0
3,14.0,0,0,40.0,2,15.0;192.0#279.0;456.0
4,24.0,0,0,40.0,1,352.0;468.0
5,29.0,1,0,40.0,2,35.0;153.0#212.0;331.0
6,21.0,0,1,40.0,2,63.0;127.0#188.0;252.0
7,10.0,0,1,40.0,3,59.0;175.0#176.0;291.0#300.0;418.0
8,25.0,0,0,40.0,1,348.0;413.0
9,21.0,1,1,40.0,2,69.0;134.0#225.0;287.0
10,24.0,0,0,40.0,1,134.0;195.0
11,3.0,0,0,40.0,1,124.0;304.0
12,25.0,0,0,40.0,1,259.0;322.0
13,42.0,0,0,40.0,2,46.0;109.0#186.0;250.0
14,12.0,0,1,40.0,1,99.0;279.0
15,22.0,0,0,40.0,3,32.0;97.0#99.0;159.0#183.0;248.0
16,15.0,1,1,40.0,1,299.0;417.0
17,11.0,0,1,40.0,1,177.0;416.0
18,12.0,1,1,40.0,2,175.0;292.0#341.0;457.0
19,2.0,1,0,40.0,1,264.0;325.0
20,24.0,1,1,40.0,1,146.0;208.0
21,17.0,0,0,40.0,1,284.0;344.0
22,17.0,0,1,40.0,2,16.0;81.0#84.0;148.0
23,33.0,0,0,40.0,1,24.0;89.0
24,20.0,1,0,40.0,2,35.0;100.0#179.0;239.0
25,16.0,0,0,40.0,2,20.0;82.0#89.0;150.0
26,19.0,0,0,40.0,2,44.0;219.0#223.0;402.0
27,34.0,1,0,40.0,1,85.0;145.0
28,24.0,1,0,40.0,2,76.0;192.0#223.0;343.0
29,21.0,1,0,40.0,2,39.0;100.0#201.0;265.0
30,12.0,0,0,40.0,1,145.0;207.0
31,16.0,1,0,40.0,1,161.0;276.0
32,22.0,0,1,40.0,2,216.0;281.0#388.0;449.0
33,4.0,0,0,40.0,1,380.0;440.0
34,21.0,0,1,40.0,1,352.0;416.0
35,22.0,1,0,40.0,1,255.0;318.0
36,10.0,0,0,40.0,1,88.0;323.0
37,22.0,1,1,40.0,2,32.0;96.0#166.0;226.0
38,24.0,1,0,40.0,1,110.0;288.0
39,16.0,0,0,40.0,1,203.0;268.0
40,26.0,1,1,40.0,1,292.0;354.0
41,12.0,0,0,40.0,1,393.0;453.0
42,25.0,1,0,40.0,2,56.0;121.0#344.0;404.0
43,13.0,0,0,40.0,1,397.0;458.0
44,29.0,0,1,40.0,2,129.0;191.0#291.0;355.0
45,11.0,1,1,40.0,3,44.0;160.0#161.0;280.0#294.0;412.0
46,16.0,0,0,40.0,1,108.0;286.0
47,22.0,0,0,40.0,1,229.0;408.0
48,13.0,0,0,40.0,1,245.0;425.0
49,15.0,0,0,40.0,1,179.0;243.0
50,18.0,0,0,40.0,1,204.0;321.0
51,10.0,0,0,40.0,1,51.0;113.0
52,21.0,1,0,40.0,1,124.0;244.0
53,19.0,1,0,40.0,1,146.0;211.0
54,21.0,0,0,40.0,1,61.0;301.0
55,11.0,0,0,40.0,3,103.0;163.0#172.0;232.0#367.0;432.0
56,31.0,1,0,40.0,2,64.0;128.0#298.0;359.0
57,35.0,0,0,40.0,1,235.0;296.0
58,23.0,1,0,40.0,1,352.0;414.0
59,3.0,1,1,40.0,2,91.0;152.0#342.0;403.0
